Test Number,Hamming Distance
1,4
2,4
3,2
4,1
5,4
6,3
7,3
8,3
9,4
10,2
11,2
12,2
13,4
14,3
15,3
16,2
17,3
18,2
19,2
20,1
21,4
22,3
23,3
24,2
25,4
26,4
27,2
28,1
29,4
30,4
31,2
32,1
33,4
34,3
35,3
36,3
37,4
38,2
39,2
40,2
41,4
42,3
43,3
44,2
45,3
46,2
47,2
48,1
49,4
50,3
51,3
52,2
53,4
54,4
55,2
56,1
57,4
58,4
59,2
60,1
61,4
62,3
63,3
64,3
65,4
66,2
67,2
68,2
69,4
70,3
71,3
72,2
73,3
74,2
75,2
76,1
77,4
78,3
79,3
80,2
81,4
82,4
83,2
84,1
85,4
86,4
87,2
88,1
89,4
90,3
91,3
92,3
93,4
94,2
95,2
96,2
97,4
98,3
99,3
100,2
101,3
102,2
103,2
104,1
105,4
106,3
107,3
108,2
109,4
110,4
111,2
112,1
113,4
114,4
115,2
116,1
117,4
118,3
119,3
120,3
121,4
122,2
123,2
124,2
125,4
126,3
127,3
128,2
129,3
130,2
131,2
132,1
133,4
134,3
135,3
136,2
137,4
138,4
139,2
140,1
141,4
142,4
143,2
144,1
145,4
146,3
147,3
148,3
149,4
150,2
151,2
152,2
153,4
154,3
155,3
156,2
157,3
158,2
159,2
160,1
161,4
162,3
163,3
164,2
165,4
166,4
167,2
168,1
169,4
170,4
171,2
172,1
173,4
174,3
175,3
176,3
177,4
178,2
179,2
180,2
181,4
182,3
183,3
184,2
185,3
186,2
187,2
188,1
189,4
190,3
191,3
192,2
193,4
194,4
195,2
196,1
197,4
198,4
199,2
200,1
201,4
202,3
203,3
204,3
205,4
206,2
207,2
208,2
209,4
210,3
211,3
212,2
213,3
214,2
215,2
216,1
217,4
218,3
219,3
220,2
221,4
222,4
223,2
224,1
225,4
226,4
227,2
228,1
229,4
230,3
231,3
232,3
233,4
234,2
235,2
236,2
237,4
238,3
239,3
240,2
241,3
242,2
243,2
244,1
245,4
246,3
247,3
248,2
249,4
250,4
251,2
252,1
253,4
254,4
255,2
256,1
257,4
258,3
259,3
260,3
261,4
262,2
263,2
264,2
265,4
266,3
267,3
268,2
269,3
270,2
271,2
272,1
273,4
274,3
275,3
276,2
277,4
278,4
279,2
280,1
281,4
282,4
283,2
284,1
285,4
286,3
287,3
288,3
289,4
290,2
291,2
292,2
293,4
294,3
295,3
296,2
297,3
298,2
299,2
300,1
301,4
302,3
303,3
304,2
305,4
306,4
307,2
308,1
309,4
310,4
311,2
312,1
313,4
314,3
315,3
316,3
317,4
318,2
319,2
320,2
321,4
322,3
323,3
324,2
325,3
326,2
327,2
328,1
329,4
330,3
331,3
332,2
333,4
334,4
335,2
336,1
337,4
338,4
339,2
340,1
341,4
342,3
343,3
344,3
345,4
346,2
347,2
348,2
349,4
350,3
351,3
352,2
353,3
354,2
355,2
356,1
357,4
358,3
359,3
360,2
361,4
362,4
363,2
364,1
365,4
366,4
367,2
368,1
369,4
370,3
371,3
