Bucket,Count
0,41
1,9
2,5
3,7
4,13
5,5
6,6
7,4
8,7
9,6
10,16
11,5
12,8
13,13
14,6
15,10
16,2
17,3
18,7
19,7
20,5
21,6
22,9
23,8
24,11
25,3
26,12
27,9
28,2
29,5
30,8
31,6
32,7
33,6
34,7
35,7
36,7
37,14
38,3
39,13
40,3
41,7
42,8
43,5
44,12
45,11
46,9
47,12
48,11
49,11
50,10
51,8
52,5
53,8
54,8
55,6
56,6
57,6
58,6
59,12
60,8
61,8
62,9
63,5
64,8
65,8
66,8
67,2
68,6
69,9
70,7
71,15
72,9
73,9
74,11
75,6
76,10
77,6
78,15
79,4
80,9
81,12
82,3
83,13
84,5
85,6
86,5
87,18
88,14
89,5
90,8
91,8
92,7
93,4
94,8
95,6
96,7
97,7
98,10
99,6
100,6
101,11
102,8
103,5
104,7
105,9
106,4
107,6
108,5
109,9
110,6
111,11
112,13
113,12
114,11
115,9
116,5
117,1
118,6
119,6
120,6
121,12
122,7
123,2
124,5
125,8
126,9
127,8
128,9
129,4
130,8
131,11
132,15
133,3
134,8
135,7
136,1
137,11
138,7
139,12
140,9
141,10
142,10
143,8
144,6
145,4
146,4
147,8
148,6
149,8
150,11
151,8
152,8
153,11
154,7
155,9
156,5
157,8
158,9
159,7
160,5
161,10
162,6
163,12
164,5
165,10
166,7
167,6
168,10
169,8
170,11
171,11
172,4
173,13
174,9
175,12
176,7
177,8
178,7
179,5
180,5
181,7
182,6
183,7
184,9
185,7
186,12
187,7
188,6
189,5
190,11
191,5
192,4
193,4
194,7
195,4
196,9
197,6
198,11
199,9
200,4
201,10
202,7
203,9
204,11
205,9
206,12
207,7
208,8
209,4
210,7
211,8
212,3
213,9
214,8
215,6
216,8
217,7
218,12
219,10
220,9
221,11
222,7
223,5
224,2
225,11
226,4
227,8
228,5
229,5
230,7
231,5
232,9
233,10
234,10
235,6
236,9
237,4
238,6
239,8
240,4
241,4
242,7
243,13
244,8
245,9
246,6
247,3
248,11
249,4
250,13
251,4
252,7
253,8
254,5
255,12

Mean,7.8125
Standard Deviation,3.6115050532984165
Chi-Square,427.3919999999999
